Node,Code,Phases,NomV_kV,Size_kVAr,Subest,Feeder,
P1IMV15 ,IC0  ,3 ,12.47 ,450.00 ,IHS0_1247 ,IHS0_1247 -> IDT999  ,
IDT1384 ,IC1  ,3 ,12.47 ,450.00 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
P1IMV11 ,IC2  ,3 ,12.47 ,300.00 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
P1IMV8  ,IC3  ,3 ,12.47 ,600.00 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
P1IMV6  ,IC4  ,3 ,12.47 ,300.00 ,IHS0_1247 ,IHS0_1247 -> IDT999  ,
IDT1184 ,IC5  ,3 ,12.47 ,300.00 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
P1IMV21 ,IC6  ,3 ,12.47 ,600.00 ,IHS0_1247 ,IHS0_1247 -> IDT620  ,
P1IMV26 ,IC7  ,3 ,12.47 ,300.00 ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
P1IMV25 ,IC8  ,3 ,12.47 ,450.00 ,IHS1_1247 ,IHS1_1247 -> IDT1289 ,
IDT1182 ,IC9  ,3 ,12.47 ,450.00 ,IHS1_1247 ,IHS1_1247 -> IDT1289 ,
P1IMV17 ,IC10 ,3 ,12.47 ,300.00 ,IHS1_1247 ,IHS1_1247 -> IDT1439 ,
IDT1039 ,IC11 ,3 ,12.47 ,450.00 ,IHS1_1247 ,IHS1_1247 -> IDT1289 ,
IDT382  ,IC12 ,3 ,12.47 ,300.00 ,IHS1_1247 ,IHS1_1247 -> IDT1439 ,
IDT1021 ,IC13 ,3 ,12.47 ,300.00 ,IHS1_1247 ,IHS1_1247 -> IDT1478 ,
P1IMV37 ,IC14 ,3 ,12.47 ,300.00 ,IHS1_1247 ,IHS1_1247 -> IDT1289 ,
P1IMV13 ,IC15 ,3 ,12.47 ,300.00 ,IHS1_1247 ,IHS1_1247 -> IDT1485 ,
IDT789  ,IC16 ,3 ,12.47 ,300.00 ,IHS1_1247 ,IHS1_1247 -> IDT1289 ,
P1IMV7  ,IC17 ,3 ,12.47 ,450.00 ,IHS2_1247 ,IHS2_1247 -> IDT1380 ,
P1IMV20 ,IC18 ,3 ,12.47 ,600.00 ,IHS2_1247 ,IHS2_1247 -> IDT1528 ,
P1IMV5  ,IC19 ,3 ,12.47 ,300.00 ,IHS2_1247 ,IHS2_1247 -> IDT1380 ,
P1IMV22 ,IC20 ,3 ,12.47 ,450.00 ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
P1IMV18 ,IC21 ,3 ,12.47 ,450.00 ,IHS2_1247 ,IHS2_1247 -> IDT898  ,
P1IMV23 ,IC22 ,3 ,12.47 ,300.00 ,IHS2_1247 ,IHS2_1247 -> IDT1528 ,
P1IMV24 ,IC23 ,3 ,12.47 ,300.00 ,IHS2_1247 ,IHS2_1247 -> IDT785  ,
IDT70   ,IC24 ,3 ,12.47 ,300.00 ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDT704  ,IC25 ,3 ,12.47 ,300.00 ,IHS2_1247 ,IHS2_1247 -> IDT1380 ,
P1IMV35 ,IC26 ,3 ,12.47 ,300.00 ,IHS3_1247 ,IHS3_1247 -> IDT960  ,
IDT797  ,IC27 ,3 ,12.47 ,300.00 ,IHS3_1247 ,IHS3_1247 -> IDT960  ,
IDT50   ,IC28 ,3 ,12.47 ,450.00 ,IHS3_1247 ,IHS3_1247 -> IDT893  ,
P1IMV39 ,IC29 ,3 ,12.47 ,300.00 ,IHS3_1247 ,IHS3_1247 -> IDT226  ,
IDT55   ,IC30 ,3 ,12.47 ,300.00 ,IHS3_1247 ,IHS3_1247 -> IDT893  ,
P1IMV33 ,IC31 ,3 ,12.47 ,450.00 ,IHS3_1247 ,IHS3_1247 -> IDT1334 ,
IDT1273 ,IC32 ,3 ,12.47 ,300.00 ,IHS3_1247 ,IHS3_1247 -> IDT960  ,
IDT516  ,IC33 ,3 ,12.47 ,300.00 ,IHS3_1247 ,IHS3_1247 -> IDT893  ,
IDT1173 ,IC34 ,3 ,12.47 ,300.00 ,IHS3_1247 ,IHS3_1247 -> IDT960  ,
P1IMV36 ,IC35 ,3 ,12.47 ,600.00 ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDT96   ,IC36 ,3 ,12.47 ,300.00 ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDT1355 ,IC37 ,3 ,12.47 ,450.00 ,IHS4_1247 ,IHS4_1247 -> IDT1687 ,
P1IMV42 ,IC38 ,3 ,12.47 ,300.00 ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
IDT867  ,IC39 ,3 ,12.47 ,300.00 ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDT1030 ,IC40 ,3 ,12.47 ,300.00 ,IHS4_1247 ,IHS4_1247 -> IDT1687 ,
IDT1411 ,IC41 ,3 ,12.47 ,300.00 ,IHS4_1247 ,IHS4_1247 -> IDT1592 ,
P1IMV41 ,IC42 ,3 ,12.47 ,300.00 ,IHS4_1247 ,IHS4_1247 -> IDT1687 ,
P1IMV3  ,IC43 ,3 ,12.47 ,600.00 ,IHS5_1247 ,IHS5_1247 -> IDT627  ,
