Node,Subest,Feeder,
ST_MAT    ,True      ,True                 ,
IDM0      ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
IDM1      ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
IDM2      ,IHS2_1247 ,IHS2_1247 -> IDT1380 ,
IDM3      ,IHS2_1247 ,IHS2_1247 -> IDT1380 ,
IDM4      ,IHS2_1247 ,IHS2_1247 -> IDT1528 ,
IDM5      ,IHS2_1247 ,IHS2_1247 -> IDT1528 ,
IDM14     ,IHS3_1247 ,IHS3_1247 -> IDT1334 ,
IDM15     ,IHS3_1247 ,IHS3_1247 -> IDT1334 ,
IDM16     ,IHS3_1247 ,IHS3_1247 -> IDT1334 ,
IDM25     ,IHS0_1247 ,IHS0_1247 -> IDT620  ,
IDM26     ,IHS0_1247 ,IHS0_1247 -> IDT620  ,
IDM28     ,IHS0_1247 ,IHS0_1247 -> IDT620  ,
IDM37     ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
IDM38     ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
IDM39     ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
IDM41     ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
IDM42     ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
IDM47     ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
IDM56     ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
IDM57     ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
IDM59     ,IHS0_1247 ,IHS0_1247 -> IDT740  ,
IDM60     ,IHS0_1247 ,IHS0_1247 -> IDT620  ,
IDM61     ,IHS0_1247 ,IHS0_1247 -> IDT620  ,
IDM63     ,IHS0_1247 ,IHS0_1247 -> IDT620  ,
IDM73     ,IHS3_1247 ,IHS3_1247 -> IDT893  ,
IDM74     ,IHS3_1247 ,IHS3_1247 -> IDT893  ,
IDM88     ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM90     ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM92     ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM93     ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM95     ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM98     ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM100    ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM103    ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM106    ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM107    ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM109    ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM111    ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM116    ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM118    ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM120    ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM121    ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM122    ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM125    ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM127    ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM128    ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM130    ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM131    ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM133    ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM135    ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM138    ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM140    ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM141    ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM142    ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM144    ,IHS2_1247 ,IHS2_1247 -> IDT486  ,
IDM163    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM165    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM168    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM172    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM173    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
IDM175    ,IHS4_1247 ,IHS4_1247 -> IDT275  ,
