Code,NodeA,NodeB,NomV,Len,Equip,R,X,C,R0,X0,C0,Imax,Status,Phases,PhasesV,PhasesVI,Subest,Feeder,
L(R:IDM2-P1ILV2)                ,IDM2       ,P1ILV2     ,0.42  ,0.028 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01515 ,0.00281 ,1.48032    ,0.04663 ,0.03619  ,0.10858  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,IHS2_1247 ,IHS2_1247 -> IDT1380 ,
L(R:IDM2-IDT1LV)                ,IDT1LV     ,IDM2       ,0.42  ,0.009 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00501 ,0.00093 ,0.48953    ,0.01542 ,0.01197  ,0.03590  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,IHS2_1247 ,IHS2_1247 -> IDT1380 ,
L(R:IDM3-P1ILV1272)             ,IDM3       ,P1ILV1272  ,0.42  ,0.041 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.02215 ,0.00411 ,2.16382    ,0.06816 ,0.05290  ,0.15871  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,IHS2_1247 ,IHS2_1247 -> IDT1380 ,
L(R:IDM3-IDT1LV)                ,IDT1LV     ,IDM3       ,0.42  ,0.009 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00500 ,0.00093 ,0.48879    ,0.01540 ,0.01195  ,0.03585  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,IHS2_1247 ,IHS2_1247 -> IDT1380 ,
L(R:IDM4-P1ILV3)                ,IDM4       ,P1ILV3     ,0.42  ,0.086 ,1P_OH_CU_4_Ionic_0_416_0               ,0.07144 ,0.00869 ,4.68007    ,0.17397 ,0.10766  ,0.32299  ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,IHS2_1247 ,IHS2_1247 -> IDT1528 ,
L(R:IDM4-IDT2LV)                ,IDT2LV     ,IDM4       ,0.42  ,0.019 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01554 ,0.00189 ,1.01779    ,0.03783 ,0.02341  ,0.07024  ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,IHS2_1247 ,IHS2_1247 -> IDT1528 ,
L(R:IDM5-P1ILV1644)             ,IDM5       ,P1ILV1644  ,0.42  ,0.065 ,1P_OH_CU_4_Ionic_0_416_0               ,0.05444 ,0.00662 ,3.56604    ,0.13256 ,0.08204  ,0.24611  ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,IHS2_1247 ,IHS2_1247 -> IDT1528 ,
L(R:IDM5-IDT2LV)                ,IDT2LV     ,IDM5       ,0.42  ,0.019 ,1P_OH_CU_4_Ionic_0_416_0               ,0.01553 ,0.00189 ,1.01725    ,0.03781 ,0.02340  ,0.07021  ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,IHS2_1247 ,IHS2_1247 -> IDT1528 ,
L(R:IDT6LV-P1ILV7)              ,IDT6LV     ,P1ILV7     ,0.42  ,0.001 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00054 ,0.00010 ,0.05281    ,0.00166 ,0.00129  ,0.00387  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,IHS3_1247 ,IHS3_1247 -> IDT1153 ,
L(R:IDM14-P1ILV12)              ,IDM14      ,P1ILV12    ,0.42  ,0.033 ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01767 ,0.00328 ,1.72623    ,0.05438 ,0.04220  ,0.12661  ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,IHS3_1247 ,IHS3_1247 -> IDT1334 ,
