Code,Phases,NVolt_kV,DemP_kW,DemQ_kVAr,Subest,Feeder,Pinst_kW,Qinst_kVAr,Yearly_kWh,NumCust,,,,,,
P1ILV1     ,3,0.42,24.21,7.96,IHS0_1247 ,IHS0_1247 -> IDT740  ,60.54,19.9,397723.7,1,,0.949970224,,,,0.949993184
P1ILV2     ,1,0.42,4.08,0.83,IHS2_1247 ,IHS2_1247 -> IDT1380 ,10.21,2.07,28017.07,2,,,,,,
P1ILV3     ,1,0.42,5.15,1.05,IHS2_1247 ,IHS2_1247 -> IDT1528 ,12.87,2.61,35342.73,3,,,,,,
P1ILV4     ,3,0.42,63.46,12.89,IHS2_1247 ,IHS2_1247 -> IDT1380 ,158.64,32.21,470587.6,1,,,,,,
P1ILV5     ,3,0.42,133.44,27.1,IHS3_1247 ,IHS3_1247 -> IDT893  ,333.6,67.74,908129.6,1,,,,,,
P1ILV6     ,3,0.42,120.14,24.4,IHS3_1247 ,IHS3_1247 -> IDT893  ,300.35,60.99,1564555,1,,,,,,
P1ILV7     ,1,0.42,4.14,1.36,IHS3_1247 ,IHS3_1247 -> IDT1153 ,10.35,3.4,19603.26,1,,,,,,
P1ILV8     ,3,0.42,88.21,17.91,IHS1_1247 ,IHS1_1247 -> IDT1478 ,220.52,44.78,1095034,1,,,,,,
P1ILV9     ,3,0.42,340.31,111.85,IHS3_1247 ,IHS3_1247 -> IDT1334 ,850.77,279.63,5589542,1,,,,,,
P1ILV10    ,3,0.42,55.43,18.22,IHS3_1247 ,IHS3_1247 -> IDT1334 ,138.57,45.54,379626.2,1,,,,,,
P1ILV11    ,3,0.42,328.09,107.84,IHS3_1247 ,IHS3_1247 -> IDT960  ,820.23,269.6,2247188,1,,,,,,
P1ILV12    ,1,0.42,4.21,0.86,IHS3_1247 ,IHS3_1247 -> IDT1334 ,10.53,2.14,28910.69,2,,,,,,
P1ILV13    ,1,0.42,2.03,0.41,IHS3_1247 ,IHS3_1247 -> IDT1334 ,5.08,1.03,14801.61,1,,,,,,
P1ILV14    ,3,0.42,171.14,56.25,IHS0_1247 ,IHS0_1247 -> IDT740  ,427.86,140.63,2811021,1,,,,,,
P1ILV15    ,3,0.42,80.19,16.28,IHS0_1247 ,IHS0_1247 -> IDT620  ,200.48,40.71,508498.1,1,,,,,,
P1ILV16    ,3,0.42,109.75,22.29,IHS0_1247 ,IHS0_1247 -> IDT620  ,274.37,55.71,689405.8,1,,,,,,
P1IMV1     ,3,12.47,2369.27,778.74,IHS0_1247 ,IHS0_1247 -> IDT605  ,2961.59,973.43,19500000,1,,,,,,
P1ILV17    ,1,0.42,17.3,5.69,IHS0_1247 ,IHS0_1247 -> IDT605  ,43.24,14.21,284118.6,1,,,,,,
P1ILV18    ,3,0.42,102.8,33.79,IHS0_1247 ,IHS0_1247 -> IDT605  ,257.01,84.47,704127.6,1,,,,,,
P1ILV19    ,1,0.42,3.83,0.78,IHS0_1247 ,IHS0_1247 -> IDT620  ,9.58,1.95,26307.37,2,,,,,,
P1ILV20    ,1,0.42,3.92,0.8,IHS3_1247 ,IHS3_1247 -> IDT1334 ,9.81,1.99,26935.97,2,,,,,,
P1ILV21    ,1,0.42,3.24,0.66,IHS0_1247 ,IHS0_1247 -> IDT620  ,8.11,1.65,22264.82,1,,,,,,
P1ILV22    ,1,0.42,15.27,3.1,IHS0_1247 ,IHS0_1247 -> IDT620  ,38.19,7.75,111134,1,,,,,,
P1ILV23    ,1,0.42,1.8,0.37,IHS0_1247 ,IHS0_1247 -> IDT620  ,4.5,0.91,14928.48,1,,,,,,
P1ILV24    ,1,0.42,4.96,1.63,IHS0_1247 ,IHS0_1247 -> IDT620  ,12.41,4.08,34004.17,1,,,,,,
P1ILV25    ,3,0.42,88.58,29.11,IHS0_1247 ,IHS0_1247 -> IDT620  ,221.44,72.78,1454874,1,,,,,,
P1ILV26    ,3,0.42,61.95,12.58,IHS0_1247 ,IHS0_1247 -> IDT620  ,154.88,31.45,680425.7,1,,,,,,
P1ILV27    ,3,0.42,46.74,9.49,IHS0_1247 ,IHS0_1247 -> IDT620  ,116.85,23.73,349914.3,1,,,,,,
P1ILV28    ,3,0.42,57.93,11.76,IHS0_1247 ,IHS0_1247 -> IDT620  ,144.82,29.41,649796.2,1,,,,,,
P1ILV29    ,3,0.42,19.76,4.01,IHS0_1247 ,IHS0_1247 -> IDT740  ,49.39,10.03,146506.8,1,,,,,,
P1ILV30    ,1,0.42,3.42,0.7,IHS0_1247 ,IHS0_1247 -> IDT740  ,8.56,1.74,23500.91,1,,,,,,
P1ILV31    ,1,0.42,2.37,0.48,IHS0_1247 ,IHS0_1247 -> IDT740  ,5.93,1.2,16730.43,1,,,,,,
P1ILV32    ,1,0.42,5.95,1.21,IHS0_1247 ,IHS0_1247 -> IDT740  ,14.86,3.02,40805.14,3,,,,,,
P1ILV33    ,1,0.42,3.14,0.64,IHS0_1247 ,IHS0_1247 -> IDT740  ,7.86,1.6,21569.6,1,,,,,,
P1ILV34    ,3,0.42,40.1,8.14,IHS0_1247 ,IHS0_1247 -> IDT620  ,100.24,20.35,263061.6,1,,,,,,
P1ILV35    ,1,0.42,3.33,0.68,IHS0_1247 ,IHS0_1247 -> IDT740  ,8.32,1.69,22838.92,1,,,,,,
P1ILV36    ,1,0.42,6.3,1.28,IHS0_1247 ,IHS0_1247 -> IDT740  ,15.75,3.2,43232.98,3,,,,,,
P1ILV37    ,3,0.42,29.43,5.98,IHS0_1247 ,IHS0_1247 -> IDT620  ,73.57,14.94,197757.7,1,,,,,,
P1ILV38    ,1,0.42,3.45,0.7,IHS0_1247 ,IHS0_1247 -> IDT740  ,8.61,1.75,23648.03,1,,,,,,
P1ILV39    ,1,0.42,4.2,0.85,IHS0_1247 ,IHS0_1247 -> IDT620  ,10.51,2.13,28842.7,2,,,,,,
P1ILV40    ,1,0.42,3.34,0.68,IHS0_1247 ,IHS0_1247 -> IDT740  ,8.34,1.69,22908.76,1,,,,,,
P1ILV41    ,1,0.42,4.08,0.83,IHS0_1247 ,IHS0_1247 -> IDT620  ,10.2,2.07,30258.34,1,,,,,,
P1ILV42    ,1,0.42,2.75,0.56,IHS0_1247 ,IHS0_1247 -> IDT740  ,6.88,1.4,18895.71,1,,,,,,
P1ILV43    ,1,0.42,1.45,0.29,IHS0_1247 ,IHS0_1247 -> IDT620  ,3.62,0.74,10739.36,1,,,,,,
P1ILV44    ,1,0.42,3.32,0.67,IHS0_1247 ,IHS0_1247 -> IDT740  ,8.29,1.68,22764.08,1,,,,,,
P1ILV45    ,1,0.42,5.26,1.07,IHS0_1247 ,IHS0_1247 -> IDT620  ,13.16,2.67,39036.48,1,,,,,,
P1ILV46    ,1,0.42,1.55,0.31,IHS0_1247 ,IHS0_1247 -> IDT740  ,3.87,0.79,11985.98,1,,,,,,
P1ILV47    ,1,0.42,3.86,0.78,IHS0_1247 ,IHS0_1247 -> IDT740  ,9.66,1.96,26514.36,2,,,,,,
P1ILV48    ,1,0.42,12.53,2.54,IHS0_1247 ,IHS0_1247 -> IDT740  ,31.32,6.36,85973.78,8,,,,,,
P1ILV49    ,1,0.42,2.83,0.57,IHS0_1247 ,IHS0_1247 -> IDT740  ,7.07,1.44,19401.17,1,,,,,,
P1ILV50    ,3,0.42,267.13,87.8,IHS1_1247 ,IHS1_1247 -> IDT1289 ,667.81,219.5,4387535,1,,,,,,
P1ILV51    ,3,0.42,25.48,8.38,IHS1_1247 ,IHS1_1247 -> IDT1289 ,63.71,20.94,174541.9,1,,,,,,
P1ILV52    ,3,0.42,53.48,17.58,IHS1_1247 ,IHS1_1247 -> IDT1289 ,133.7,43.95,878439.3,1,,,,,,
P1ILV53    ,3,0.42,48.73,9.89,IHS3_1247 ,IHS3_1247 -> IDT893  ,121.82,24.74,556048.5,1,,,,,,
P1ILV54    ,3,0.42,25.28,5.13,IHS3_1247 ,IHS3_1247 -> IDT893  ,63.19,12.83,187447.7,1,,,,,,
