Node,OH,
SM1     ,A ,
SM2     ,A ,
SM3     ,A ,
SM4     ,A ,
SM5     ,A ,
SM6     ,A ,
SM7     ,A ,
SM8     ,A ,
SM9     ,A ,
SM10    ,A ,
SM11    ,A ,
SM12    ,A ,
SM13    ,A ,
SM14    ,A ,
SM15    ,A ,
SM16    ,A ,
SM17    ,A ,
SM18    ,A ,
SM19    ,A ,
SM20    ,A ,
SM21    ,A ,
SM22    ,A ,
SM23    ,A ,
SM24    ,A ,
SM25    ,A ,
SM26    ,A ,
SM27    ,A ,
SM28    ,A ,
SM29    ,A ,
SM30    ,A ,
SM31    ,A ,
SM32    ,A ,
SM33    ,A ,
SM34    ,A ,
SM35    ,A ,
SM36    ,A ,
SM37    ,A ,
SM38    ,A ,
SM39    ,A ,
SM40    ,A ,
SM41    ,A ,
SM42    ,A ,
SM43    ,A ,
SM44    ,A ,
SM45    ,A ,
SM46    ,A ,
SM47    ,A ,
SM48    ,A ,
SM49    ,A ,
SM50    ,A ,
SM51    ,A ,
SM53    ,A ,
SM54    ,A ,
SM55    ,A ,
SM56    ,A ,
SM57    ,A ,
SM58    ,A ,
SM59    ,A ,
SM60    ,A ,
SM61    ,A ,
SM62    ,A ,
SM63    ,A ,
SM64    ,A ,
SM65    ,A ,
SM66    ,A ,
SM67    ,A ,
SM68    ,A ,
SM69    ,A ,
SM70    ,A ,
SM71    ,A ,
SM72    ,A ,
SM73    ,A ,
SM74    ,A ,
SM75    ,A ,
SM76    ,A ,
SM77    ,A ,
SM78    ,A ,
SM79    ,A ,
SM80    ,A ,
SM81    ,A ,
SM82    ,A ,
SM83    ,A ,
SM84    ,A ,
SM85    ,A ,
SM86    ,A ,
SM87    ,A ,
SM88    ,A ,
SM89    ,A ,
SM90    ,A ,
SM91    ,A ,
SM92    ,A ,
SM93    ,A ,
SM94    ,A ,
SM95    ,A ,
SM96    ,A ,
SM97    ,A ,
SM98    ,A ,
SM99    ,A ,
SM100   ,A ,
SM101   ,A ,
SM102   ,A ,
SM103   ,A ,
SM104   ,A ,
SM105   ,A ,
SM106   ,A ,
SM107   ,A ,
SM108   ,A ,
SM109   ,A ,
SM110   ,A ,
SM111   ,A ,
SM113   ,A ,
SM114   ,A ,
SM115   ,A ,
SM116   ,S ,
SM117   ,A ,
SM118   ,A ,
SM119   ,A ,
SM121   ,A ,
SM122   ,S ,
SM123   ,A ,
SM124   ,A ,
SM125   ,A ,
SM126   ,A ,
SM127   ,A ,
SM128   ,S ,
SM129   ,A ,
SM130   ,A ,
SM131   ,A ,
SM132   ,A ,
SM133   ,S ,
SM134   ,S ,
SM135   ,A ,
SM136   ,A ,
SM137   ,A ,
SM138   ,A ,
SM139   ,S ,
SM140   ,S ,
SM141   ,A ,
SM142   ,A ,
SM143   ,A ,
SM144   ,S ,
SM145   ,S ,
SM146   ,A ,
SM147   ,A ,
SM148   ,S ,
SM149   ,A ,
SM150   ,A ,
SM151   ,S ,
SM152   ,A ,
SM153   ,A ,
SM154   ,A ,
SM155   ,S ,
SM156   ,A ,
SM157   ,S ,
SM158   ,A ,
SM159   ,S ,
SM160   ,A ,
SM161   ,A ,
SM162   ,S ,
SM163   ,A ,
SM164   ,S ,
SM165   ,A ,
SM166   ,A ,
SM167   ,A ,
SM168   ,S ,
SM169   ,A ,
SM170   ,S ,
SM171   ,A ,
SM172   ,A ,
SM173   ,S ,
SM174   ,A ,
SM175   ,S ,
SM176   ,A ,
SM177   ,A ,
SM178   ,A ,
SM179   ,S ,
SM180   ,A ,
SM181   ,S ,
SM182   ,A ,
SM183   ,S ,
SM184   ,A ,
SM185   ,A ,
SM186   ,A ,
SM187   ,A ,
SM188   ,A ,
SM189   ,S ,
SM190   ,A ,
SM191   ,A ,
SM192   ,S ,
SM193   ,A ,
SM194   ,A ,
SM195   ,S ,
SM196   ,A ,
SM197   ,A ,
SM198   ,A ,
SM199   ,S ,
SM200   ,A ,
SM201   ,A ,
SM202   ,A ,
SM203   ,A ,
SM204   ,S ,
SM205   ,A ,
SM206   ,S ,
SM207   ,A ,
SM209   ,A ,
SM210   ,A ,
SM211   ,S ,
SM212   ,S ,
SM213   ,A ,
SM214   ,A ,
SM215   ,A ,
SM216   ,A ,
SM217   ,A ,
SM218   ,S ,
SM219   ,A ,
SM220   ,S ,
SM221   ,A ,
SM222   ,A ,
SM223   ,A ,
SM224   ,A ,
SM225   ,S ,
SM226   ,A ,
SM227   ,S ,
SM228   ,A ,
SM229   ,A ,
SM230   ,A ,
SM231   ,A ,
SM232   ,A ,
SM233   ,A ,
SM234   ,A ,
SM235   ,S ,
SM236   ,S ,
SM237   ,A ,
SM238   ,A ,
SM239   ,A ,
SM240   ,A ,
SM241   ,S ,
SM242   ,A ,
SM243   ,A ,
SM244   ,A ,
SM245   ,A ,
SM246   ,A ,
SM247   ,A ,
SM248   ,A ,
SM249   ,S ,
SM250   ,A ,
SM251   ,A ,
SM252   ,A ,
SM253   ,A ,
SM254   ,A ,
SM255   ,A ,
SM256   ,A ,
SM257   ,S ,
SM258   ,A ,
SM259   ,A ,
SM260   ,A ,
SM261   ,A ,
SM262   ,A ,
SM263   ,A ,
SM264   ,A ,
SM265   ,A ,
SM266   ,A ,
SM267   ,S ,
SM268   ,A ,
SM269   ,A ,
SM270   ,A ,
SM271   ,A ,
SM272   ,A ,
SM273   ,A ,
SM274   ,A ,
SM275   ,A ,
SM276   ,A ,
SM277   ,S ,
SM278   ,A ,
SM279   ,A ,
SM280   ,A ,
SM281   ,A ,
SM282   ,A ,
SM283   ,A ,
SM284   ,A ,
SM285   ,A ,
SM286   ,A ,
SM287   ,A ,
SM289   ,S ,
SM290   ,A ,
SM291   ,A ,
SM292   ,A ,
SM293   ,A ,
SM294   ,A ,
SM295   ,A ,
SM296   ,S ,
SM297   ,A ,
SM298   ,A ,
SM299   ,A ,
SM300   ,A ,
SM301   ,A ,
SM302   ,S ,
SM303   ,A ,
SM304   ,A ,
SM305   ,A ,
SM306   ,A ,
SM307   ,A ,
SM308   ,A ,
SM309   ,A ,
SM310   ,S ,
SM311   ,A ,
SM312   ,A ,
SM313   ,A ,
SM314   ,A ,
SM315   ,A ,
SM316   ,S ,
SM317   ,A ,
SM318   ,S ,
SM319   ,A ,
SM320   ,A ,
SM321   ,A ,
SM322   ,A ,
SM323   ,A ,
SM324   ,S ,
SM325   ,A ,
SM326   ,A ,
SM327   ,A ,
SM328   ,A ,
SM329   ,S ,
SM330   ,A ,
SM331   ,A ,
SM332   ,A ,
SM333   ,A ,
SM334   ,S ,
SM335   ,A ,
SM336   ,S ,
SM337   ,A ,
SM338   ,A ,
SM339   ,A ,
SM340   ,S ,
SM341   ,S ,
SM342   ,A ,
SM343   ,S ,
SM344   ,A ,
SM345   ,A ,
SM346   ,S ,
SM347   ,A ,
SM348   ,S ,
SM349   ,A ,
SM350   ,A ,
SM351   ,A ,
SM352   ,S ,
SM353   ,S ,
SM354   ,A ,
SM355   ,A ,
SM356   ,S ,
SM357   ,A ,
SM358   ,A ,
SM359   ,S ,
SM360   ,A ,
SM361   ,S ,
SM362   ,S ,
SM363   ,A ,
SM364   ,A ,
SM365   ,A ,
SM366   ,A ,
SM367   ,S ,
SM368   ,S ,
SM369   ,S ,
SM370   ,A ,
SM371   ,A ,
SM372   ,A ,
SM373   ,A ,
SM374   ,S ,
SM375   ,S ,
SM376   ,A ,
SM377   ,A ,
SM378   ,S ,
SM379   ,A ,
SM380   ,A ,
SM381   ,A ,
SM382   ,A ,
SM383   ,A ,
SM384   ,A ,
SM385   ,A ,
SM386   ,A ,
SM387   ,A ,
SM388   ,S ,
SM389   ,A ,
SM390   ,S ,
SM391   ,S ,
SM392   ,A ,
SM393   ,A ,
SM394   ,A ,
SM395   ,A ,
SM396   ,A ,
SM397   ,S ,
SM398   ,A ,
SM399   ,S ,
SM400   ,A ,
SM401   ,A ,
SM402   ,S ,
SM403   ,A ,
SM404   ,S ,
SM405   ,A ,
SM406   ,A ,
SM407   ,A ,
SM408   ,S ,
SM409   ,S ,
SM410   ,A ,
SM411   ,A ,
SM412   ,A ,
SM413   ,A ,
SM414   ,A ,
SM415   ,A ,
SM416   ,S ,
SM417   ,A ,
SM418   ,S ,
SM419   ,A ,
SM420   ,S ,
SM421   ,A ,
SM422   ,S ,
SM423   ,A ,
SM424   ,A ,
SM425   ,A ,
SM426   ,A ,
SM427   ,A ,
SM428   ,A ,
SM429   ,A ,
SM430   ,S ,
SM432   ,S ,
SM433   ,A ,
SM434   ,A ,
SM435   ,A ,
SM436   ,S ,
SM437   ,A ,
SM438   ,A ,
SM439   ,A ,
SM440   ,A ,
SM441   ,A ,
SM442   ,S ,
SM443   ,S ,
SM444   ,S ,
SM445   ,A ,
SM446   ,A ,
SM447   ,A ,
SM448   ,A ,
SM449   ,A ,
SM450   ,A ,
SM451   ,S ,
SM452   ,A ,
SM453   ,A ,
SM454   ,S ,
SM455   ,S ,
SM456   ,A ,
SM457   ,A ,
SM458   ,A ,
SM459   ,A ,
SM460   ,A ,
SM461   ,S ,
SM462   ,A ,
SM463   ,S ,
SM464   ,S ,
SM466   ,A ,
SM467   ,A ,
SM468   ,A ,
SM469   ,S ,
SM470   ,A ,
SM471   ,S ,
SM472   ,S ,
SM473   ,A ,
SM474   ,S ,
SM475   ,A ,
SM476   ,A ,
SM477   ,A ,
SM478   ,S ,
SM479   ,S ,
SM480   ,S ,
SM481   ,S ,
SM482   ,A ,
SM483   ,A ,
SM484   ,A ,
SM485   ,A ,
SM486   ,S ,
SM487   ,A ,
SM488   ,A ,
SM489   ,A ,
SM490   ,A ,
SM491   ,S ,
SM492   ,S ,
SM493   ,A ,
SM494   ,A ,
SM495   ,S ,
SM496   ,A ,
SM497   ,A ,
SM498   ,A ,
SM499   ,A ,
SM500   ,A ,
SM501   ,S ,
SM502   ,S ,
SM503   ,A ,
SM504   ,S ,
SM505   ,A ,
SM506   ,S ,
SM507   ,A ,
SM508   ,A ,
SM509   ,S ,
SM510   ,A ,
SM511   ,A ,
SM512   ,A ,
SM513   ,S ,
SM514   ,S ,
SM515   ,S ,
SM516   ,A ,
SM517   ,A ,
SM518   ,S ,
SM519   ,A ,
SM520   ,A ,
SM521   ,A ,
SM522   ,S ,
SM523   ,S ,
SM524   ,S ,
SM525   ,A ,
SM526   ,A ,
SM527   ,S ,
SM528   ,A ,
SM529   ,A ,
SM530   ,A ,
SM531   ,A ,
SM532   ,S ,
SM533   ,S ,
SM534   ,S ,
SM535   ,A ,
SM536   ,S ,
SM537   ,A ,
SM538   ,A ,
SM539   ,A ,
SM540   ,A ,
SM541   ,S ,
SM542   ,S ,
SM543   ,A ,
SM544   ,S ,
SM545   ,A ,
SM546   ,S ,
SM547   ,A ,
SM548   ,A ,
SM549   ,S ,
SM550   ,S ,
SM551   ,S ,
SM552   ,A ,
SM553   ,S ,
SM554   ,A ,
SM555   ,A ,
SM556   ,A ,
SM557   ,A ,
SM558   ,S ,
SM559   ,A ,
SM560   ,S ,
SM561   ,S ,
SM562   ,A ,
SM563   ,S ,
SM564   ,A ,
SM565   ,A ,
SM566   ,S ,
SM567   ,A ,
SM568   ,S ,
SM569   ,S ,
SM570   ,S ,
SM571   ,A ,
SM572   ,A ,
SM573   ,A ,
SM574   ,A ,
SM575   ,A ,
SM576   ,A ,
SM577   ,A ,
SM578   ,A ,
SM579   ,A ,
SM580   ,A ,
SM581   ,A ,
SM582   ,A ,
SM583   ,A ,
SM584   ,A ,
SM585   ,S ,
SM586   ,A ,
SM587   ,A ,
SM588   ,S ,
SM589   ,S ,
SM590   ,A ,
SM591   ,A ,
SM592   ,A ,
SM593   ,A ,
SM594   ,S ,
SM595   ,A ,
SM596   ,A ,
SM597   ,A ,
SM598   ,A ,
SM599   ,A ,
SM600   ,A ,
SM601   ,A ,
SM602   ,A ,
SM603   ,A ,
SM604   ,S ,
SM605   ,A ,
SM606   ,A ,
SM607   ,S ,
SM608   ,A ,
SM609   ,A ,
SM610   ,A ,
SM611   ,A ,
SM612   ,A ,
SM613   ,A ,
SM614   ,A ,
SM615   ,A ,
SM616   ,A ,
SM617   ,A ,
SM618   ,A ,
SM619   ,S ,
SM620   ,S ,
SM621   ,A ,
SM622   ,A ,
SM623   ,A ,
SM624   ,A ,
SM625   ,A ,
SM626   ,A ,
SM627   ,A ,
SM628   ,A ,
SM629   ,A ,
SM630   ,A ,
SM631   ,A ,
SM632   ,A ,
SM633   ,A ,
SM634   ,A ,
SM635   ,A ,
SM636   ,A ,
SM637   ,A ,
SM638   ,A ,
SM639   ,A ,
SM640   ,A ,
SM641   ,A ,
SM642   ,A ,
SM643   ,A ,
SM644   ,A ,
SM645   ,A ,
SM646   ,A ,
SM647   ,A ,
SM648   ,A ,
SM649   ,A ,
SM650   ,A ,
SM651   ,A ,
SM652   ,A ,
SM653   ,A ,
SM654   ,A ,
SM655   ,A ,
SM656   ,A ,
SM657   ,A ,
SM658   ,A ,
SM659   ,A ,
SM660   ,A ,
SM661   ,A ,
SM662   ,A ,
SM663   ,A ,
SM664   ,A ,
SM665   ,A ,
SM666   ,A ,
SM667   ,S ,
SM668   ,S ,
SM669   ,S ,
SM670   ,A ,
SM671   ,A ,
SM672   ,A ,
SM673   ,A ,
SM674   ,A ,
SM675   ,S ,
SM676   ,S ,
SM677   ,A ,
SM678   ,S ,
SM679   ,A ,
SM680   ,A ,
SM681   ,A ,
SM682   ,A ,
SM683   ,A ,
SM684   ,A ,
SM685   ,S ,
SM686   ,A ,
SM687   ,S ,
SM688   ,S ,
SM689   ,A ,
SM690   ,A ,
SM691   ,A ,
SM692   ,S ,
SM693   ,A ,
SM694   ,S ,
SM695   ,A ,
