Node,Subest,Feeder,
ST_MAT    ,True      ,True                 ,
RDM0      ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM1      ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM2      ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM4      ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM5      ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM12     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM13     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM14     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM15     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM19     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM21     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM23     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM24     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM25     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM26     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM27     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM28     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM29     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM30     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM31     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM32     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM33     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM34     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM35     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM36     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM37     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM39     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM42     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM43     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM46     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM48     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM50     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM51     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM53     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM58     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM59     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM60     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM62     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM64     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
RDM66     ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
