Code,NodeA,NodeB,NomV,Len,Equip,R,X,C,R0,X0,C0,Imax,Status,Phases,PhasesV,PhasesVI,Subest,Feeder,
L(R:P1RLV2-RDM1)             ,RDM1      ,P1RLV2    ,0.42  ,0.018  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00994 ,0.00184 ,0.97089   ,0.03058 ,0.02374  ,0.07121  ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV1-RDM0)             ,RDM0      ,P1RLV1    ,0.42  ,0.018  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00951 ,0.00176 ,0.92881   ,0.02926 ,0.02271  ,0.06812  ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM0-RDM1)               ,RDM1      ,RDM0      ,0.42  ,0.036  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01962 ,0.00364 ,1.91746   ,0.06040 ,0.04688  ,0.14064  ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM1-RDT0LV)             ,RDT0LV    ,RDM1      ,0.42  ,0.009  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00486 ,0.00090 ,0.47513   ,0.01497 ,0.01162  ,0.03485  ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV3-RDM2)             ,RDM2      ,P1RLV3    ,0.42  ,0.022  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01200 ,0.00223 ,1.17217   ,0.03693 ,0.02866  ,0.08597  ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM2-RDT0LV)             ,RDT0LV    ,RDM2      ,0.42  ,0.038  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.02040 ,0.00379 ,1.99343   ,0.06280 ,0.04874  ,0.14621  ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV4-RDT1LV)           ,RDT1LV    ,P1RLV4    ,0.42  ,0.018  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00982 ,0.00182 ,0.95943   ,0.03022 ,0.02346  ,0.07037  ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV5-RDM4)             ,RDM4      ,P1RLV5    ,0.42  ,0.022  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01167 ,0.00217 ,1.14062   ,0.03593 ,0.02789  ,0.08366  ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM4-RDT2LV)             ,RDT2LV    ,RDM4      ,0.42  ,0.019  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01036 ,0.00192 ,1.01205   ,0.03188 ,0.02474  ,0.07423  ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV6-RDM5)             ,RDM5      ,P1RLV6    ,0.42  ,0.015  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00812 ,0.00151 ,0.79297   ,0.02498 ,0.01939  ,0.05816  ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM5-RDT2LV)             ,RDT2LV    ,RDM5      ,0.42  ,0.019  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01036 ,0.00192 ,1.01226   ,0.03189 ,0.02475  ,0.07424  ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV7-RDT3LV)           ,RDT3LV    ,P1RLV7    ,0.42  ,0.018  ,1P_OH_CU_4_Ionic_0_416_0               ,0.01538 ,0.00187 ,1.00783   ,0.03746 ,0.02318  ,0.06955  ,115 ,1 ,B   ,B_LV   ,1_LV_38.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV8-RDT4LV)           ,RDT4LV    ,P1RLV8    ,0.42  ,0.023  ,1P_OH_CU_4_Ionic_0_416_0               ,0.01929 ,0.00235 ,1.26368   ,0.04697 ,0.02907  ,0.08721  ,115 ,1 ,C   ,C_LV   ,1_LV_38.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV9-RDT5LV)           ,RDT5LV    ,P1RLV9    ,0.42  ,0.019  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01001 ,0.00186 ,0.97773   ,0.03080 ,0.02390  ,0.07171  ,205 ,1 ,B   ,B_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV10-RDT6LV)          ,RDT6LV    ,P1RLV10   ,0.42  ,0.020  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01079 ,0.00200 ,1.05450   ,0.03322 ,0.02578  ,0.07734  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV11-RDT7LV)          ,RDT7LV    ,P1RLV11   ,0.42  ,0.019  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01049 ,0.00195 ,1.02452   ,0.03227 ,0.02505  ,0.07514  ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV12-RDT8LV)          ,RDT8LV    ,P1RLV12   ,0.42  ,0.019  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01016 ,0.00189 ,0.99280   ,0.03127 ,0.02427  ,0.07282  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV13-RDM12)           ,RDM12     ,P1RLV13   ,0.42  ,0.023  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.01231 ,0.00229 ,1.20318   ,0.03790 ,0.02942  ,0.08825  ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM12-RDT9LV)            ,RDT9LV    ,RDM12     ,0.42  ,0.037  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.02016 ,0.00374 ,1.96959   ,0.06205 ,0.04815  ,0.14446  ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV22-RDM13)           ,RDM13     ,P1RLV22   ,0.42  ,0.015  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00791 ,0.00147 ,0.77301   ,0.02435 ,0.01890  ,0.05670  ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM13-RDT9LV)            ,RDT9LV    ,RDM13     ,0.42  ,0.046  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.02495 ,0.00463 ,2.43752   ,0.07679 ,0.05959  ,0.17878  ,205 ,1 ,A   ,A_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV14-RDM14)           ,RDM14     ,P1RLV14   ,0.42  ,0.058  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.03146 ,0.00584 ,3.07424   ,0.09684 ,0.07516  ,0.22548  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:P1RLV17-RDM14)           ,RDM14     ,P1RLV17   ,0.42  ,0.016  ,1P_UG_AL_1/0_Brenau_0_416_0            ,0.00848 ,0.00157 ,0.82874   ,0.02611 ,0.02026  ,0.06078  ,205 ,1 ,C   ,C_LV   ,1_LV_68.3333 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
L(R:RDM14-RDT10LV)           ,RDT10LV   ,RDM14     ,0.42  ,0.009  ,1P_UG_AL_2/0_Converse_0_416_0          ,0.00402 ,0.00092 ,0.51136   ,0.01388 ,0.01001  ,0.03002  ,233 ,1 ,C   ,C_LV   ,1_LV_77.6667 ,RHS1_1247 ,RHS1_1247 -> RDT137  ,
