Code,Phases,NVolt_kV,DemP_kW,DemQ_kVAr,Subest,Feeder,Pinst_kW,Qinst_kVAr,Yearly_kWh,NumCust,
P1RLV1    ,1 ,0.42  ,3.43    ,0.70   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,8.57    ,1.74   ,23515.41   ,1 ,
P1RLV2    ,1 ,0.42  ,4.66    ,0.95   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,11.66   ,2.37   ,32003.51   ,1 ,
P1RLV3    ,1 ,0.42  ,1.38    ,0.28   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,3.45    ,0.70   ,1053.89    ,1 ,
P1RLV4    ,1 ,0.42  ,3.08    ,0.63   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,7.70    ,1.56   ,21143.98   ,1 ,
P1RLV5    ,1 ,0.42  ,2.34    ,0.48   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,5.85    ,1.19   ,16549.65   ,1 ,
P1RLV6    ,1 ,0.42  ,1.73    ,0.35   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,4.33    ,0.88   ,13095.75   ,1 ,
P1RLV7    ,1 ,0.42  ,2.74    ,0.56   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,6.86    ,1.39   ,18824.56   ,1 ,
P1RLV8    ,1 ,0.42  ,3.21    ,0.65   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,8.02    ,1.63   ,22016.88   ,1 ,
P1RLV9    ,1 ,0.42  ,3.36    ,0.68   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,8.41    ,1.71   ,23081.53   ,1 ,
P1RLV10   ,1 ,0.42  ,3.84    ,0.78   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,9.60    ,1.95   ,26356.98   ,1 ,
P1RLV11   ,1 ,0.42  ,3.43    ,0.70   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,8.58    ,1.74   ,23562.46   ,1 ,
P1RLV12   ,1 ,0.42  ,4.47    ,0.91   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,11.18   ,2.27   ,30698.61   ,1 ,
P1RLV13   ,1 ,0.42  ,2.80    ,0.57   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,6.99    ,1.42   ,19193.09   ,1 ,
P1RLV14   ,1 ,0.42  ,5.97    ,1.21   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,14.92   ,3.03   ,40967.32   ,1 ,
P1RLV15   ,1 ,0.42  ,1.38    ,0.28   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,3.45    ,0.70   ,7932.34    ,1 ,
P1RLV16   ,1 ,0.42  ,4.40    ,0.89   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,11.00   ,2.23   ,30189.43   ,1 ,
P1RLV17   ,1 ,0.42  ,3.43    ,0.70   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,8.57    ,1.74   ,23521.53   ,1 ,
P1RLV18   ,1 ,0.42  ,3.92    ,0.80   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,9.79    ,1.99   ,26871.66   ,1 ,
P1RLV19   ,1 ,0.42  ,2.27    ,0.46   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,5.68    ,1.15   ,16165.95   ,1 ,
P1RLV20   ,1 ,0.42  ,2.78    ,0.56   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,6.94    ,1.41   ,19064.94   ,1 ,
P1RLV21   ,1 ,0.42  ,5.20    ,1.06   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,13.00   ,2.64   ,35690.73   ,1 ,
P1RLV22   ,1 ,0.42  ,8.08    ,1.64   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,20.20   ,4.10   ,55459.45   ,1 ,
P1RLV23   ,1 ,0.42  ,3.11    ,0.63   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,7.78    ,1.58   ,21366.34   ,1 ,
P1RLV24   ,1 ,0.42  ,4.51    ,0.92   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,11.27   ,2.29   ,30951.52   ,1 ,
P1RLV25   ,1 ,0.42  ,5.95    ,1.21   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,14.87   ,3.02   ,40816.61   ,1 ,
P1RLV26   ,1 ,0.42  ,6.20    ,1.26   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,15.49   ,3.15   ,42522.99   ,1 ,
P1RLV27   ,1 ,0.42  ,1.64    ,0.33   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,4.11    ,0.83   ,12595.41   ,1 ,
P1RLV28   ,1 ,0.42  ,1.38    ,0.28   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,3.45    ,0.70   ,9083.55    ,1 ,
P1RLV29   ,1 ,0.42  ,2.58    ,0.52   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,6.45    ,1.31   ,17910.99   ,1 ,
P1RLV30   ,1 ,0.42  ,5.97    ,1.21   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,14.92   ,3.03   ,40969.52   ,1 ,
P1RLV31   ,1 ,0.42  ,1.80    ,0.37   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,4.51    ,0.92   ,13502.12   ,1 ,
P1RLV32   ,1 ,0.42  ,3.44    ,0.70   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,8.60    ,1.75   ,23603.97   ,1 ,
P1RLV33   ,1 ,0.42  ,7.63    ,1.55   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,19.08   ,3.87   ,52386.73   ,1 ,
P1RLV34   ,1 ,0.42  ,3.82    ,0.78   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,9.55    ,1.94   ,26213.80   ,1 ,
P1RLV35   ,1 ,0.42  ,4.51    ,0.92   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,11.27   ,2.29   ,30935.50   ,1 ,
P1RLV36   ,1 ,0.42  ,3.12    ,0.63   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,7.80    ,1.58   ,21408.38   ,1 ,
P1RLV37   ,1 ,0.42  ,4.48    ,0.91   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,11.20   ,2.27   ,30743.85   ,1 ,
P1RLV38   ,1 ,0.42  ,5.49    ,1.12   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,13.73   ,2.79   ,37696.87   ,1 ,
P1RLV39   ,1 ,0.42  ,1.38    ,0.28   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,3.45    ,0.70   ,6852.28    ,1 ,
P1RLV40   ,1 ,0.42  ,4.84    ,0.98   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,12.11   ,2.46   ,33237.09   ,1 ,
P1RLV41   ,1 ,0.42  ,9.77    ,1.98   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,24.42   ,4.96   ,67034.59   ,1 ,
P1RLV42   ,1 ,0.42  ,4.83    ,0.98   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,12.08   ,2.45   ,33151.07   ,1 ,
P1RLV43   ,1 ,0.42  ,3.02    ,0.61   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,7.54    ,1.53   ,20707.39   ,1 ,
P1RLV44   ,1 ,0.42  ,5.11    ,1.04   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,12.78   ,2.60   ,35086.34   ,1 ,
P1RLV45   ,1 ,0.42  ,1.86    ,0.38   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,4.65    ,0.94   ,13826.29   ,1 ,
P1RLV46   ,1 ,0.42  ,3.53    ,0.72   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,8.81    ,1.79   ,24194.25   ,1 ,
P1RLV47   ,1 ,0.42  ,6.42    ,1.30   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,16.04   ,3.26   ,44047.43   ,1 ,
P1RLV48   ,1 ,0.42  ,3.06    ,0.62   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,7.64    ,1.55   ,20969.79   ,1 ,
P1RLV49   ,1 ,0.42  ,3.04    ,0.62   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,7.60    ,1.54   ,20853.36   ,1 ,
P1RLV50   ,1 ,0.42  ,2.16    ,0.44   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,5.40    ,1.10   ,15532.74   ,1 ,
P1RLV51   ,1 ,0.42  ,1.38    ,0.28   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,3.45    ,0.70   ,6996.62    ,1 ,
P1RLV52   ,1 ,0.42  ,4.44    ,0.90   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,11.10   ,2.25   ,30475.68   ,1 ,
P1RLV53   ,1 ,0.42  ,2.82    ,0.57   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,7.04    ,1.43   ,19337.34   ,1 ,
P1RLV54   ,1 ,0.42  ,2.97    ,0.60   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,7.44    ,1.51   ,20411.27   ,1 ,
P1RLV55   ,1 ,0.42  ,3.67    ,0.75   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,9.18    ,1.86   ,25198.46   ,1 ,
P1RLV56   ,1 ,0.42  ,1.38    ,0.28   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,3.45    ,0.70   ,10300.63   ,1 ,
P1RLV57   ,1 ,0.42  ,3.98    ,0.81   ,RHS1_1247 ,RHS1_1247 -> RDT137  ,9.94    ,2.02   ,27284.12   ,1 ,
