,斯坦纳点名称,区域,子区域,x,y
0,IDM0,GSO,industrial,591202.35,3995938.28
1,IDM1,GSO,industrial,591197.18,3995885.7
2,IDM2,GSO,industrial,597614.39,3994922.22
3,IDM3,GSO,industrial,597624.64,3994906.79
4,IDM4,GSO,industrial,597666.59,3995270.86
5,IDM5,GSO,industrial,597666.88,3995233.51
6,IDM14,GSO,industrial,590849.96,3993735.8
7,IDM15,GSO,industrial,590812.98,3993728.17
8,IDM16,GSO,industrial,590858.27,3993736.79
9,IDM25,GSO,industrial,590443.47,3994229.2
10,IDM26,GSO,industrial,590462.37,3994182.64
11,IDM28,GSO,industrial,590620.69,3994168.33
12,IDM37,GSO,industrial,590369.68,3995084.52
13,IDM38,GSO,industrial,590369.44,3995034.15
14,IDM39,GSO,industrial,590372.51,3995532.0
15,IDM41,GSO,industrial,590389.06,3995440.87
16,IDM42,GSO,industrial,590456.71,3995433.35
17,IDM47,GSO,industrial,590370.92,3995271.13
18,IDM56,GSO,industrial,590372.59,3995550.6
19,IDM57,GSO,industrial,590372.67,3995569.2
20,IDM59,GSO,industrial,590372.92,3995625.0
21,IDM60,GSO,industrial,590829.02,3995421.73
22,IDM61,GSO,industrial,590828.64,3995431.47
23,IDM63,GSO,industrial,590829.78,3995402.27
24,IDM73,GSO,industrial,593832.91,3993119.98
25,IDM74,GSO,industrial,593829.71,3993091.39
26,IDM88,GSO,industrial,597068.38,3991367.89
27,IDM90,GSO,industrial,597038.93,3991366.5
28,IDM92,GSO,industrial,596980.03,3991363.7
29,IDM93,GSO,industrial,597038.93,3991366.5
30,IDM95,GSO,industrial,597513.9,3991081.76
31,IDM98,GSO,industrial,597481.93,3991091.62
32,IDM100,GSO,industrial,597462.53,3991090.62
33,IDM103,GSO,industrial,597560.41,3991012.07
34,IDM106,GSO,industrial,597574.46,3991058.37
35,IDM107,GSO,industrial,597592.58,3991053.11
36,IDM109,GSO,industrial,597694.7,3991115.32
37,IDM111,GSO,industrial,597645.12,3991119.87
38,IDM116,GSO,industrial,597423.73,3991088.61
39,IDM118,GSO,industrial,597384.94,3991086.6
40,IDM120,GSO,industrial,597357.86,3991084.96
41,IDM121,GSO,industrial,597338.87,3991091.98
42,IDM122,GSO,industrial,597404.34,3991087.6
43,IDM125,GSO,industrial,597396.67,3990997.58
44,IDM127,GSO,industrial,597397.79,3990935.19
45,IDM128,GSO,industrial,597391.69,3990949.16
46,IDM130,GSO,industrial,597401.35,3990928.48
47,IDM131,GSO,industrial,597408.45,3990915.06
48,IDM133,GSO,industrial,597459.76,3990944.81
49,IDM135,GSO,industrial,597461.43,3990982.65
50,IDM138,GSO,industrial,597550.8,3991011.93
51,IDM140,GSO,industrial,597522.0,3991011.48
52,IDM141,GSO,industrial,597625.05,3991016.86
53,IDM142,GSO,industrial,597699.37,3991030.08
54,IDM144,GSO,industrial,597598.81,3991012.66
55,IDM163,GSO,industrial,597539.8,3990741.9
56,IDM165,GSO,industrial,597516.27,3990747.85
57,IDM168,GSO,industrial,597713.34,3990738.11
58,IDM172,GSO,industrial,597663.85,3990846.03
59,IDM173,GSO,industrial,597675.54,3990860.07
60,IDM175,GSO,industrial,597705.33,3990876.61
61,IDM184,GSO,industrial,597537.72,3990799.28
62,IDM186,GSO,industrial,597504.97,3990795.54
63,IDM188,GSO,industrial,597499.98,3990783.11
64,IDM189,GSO,industrial,597501.97,3990790.07
65,IDM190,GSO,industrial,597462.93,3990746.15
66,IDM191,GSO,industrial,597537.72,3990799.28
67,IDM192,GSO,industrial,597546.04,3990796.3
68,IDM194,GSO,industrial,597501.97,3990790.07
69,IDM195,GSO,industrial,597507.97,3990801.01
70,IDM196,GSO,industrial,597445.58,3990746.01
71,IDM197,GSO,industrial,597401.59,3990806.82
72,IDM199,GSO,industrial,597430.32,3990749.28
73,IDM200,GSO,industrial,597420.69,3990756.27
74,IDM202,GSO,industrial,597424.33,3990826.5
75,IDM206,GSO,industrial,597430.75,3990836.91
76,IDM207,GSO,industrial,597521.08,3990805.26
77,IDM210,GSO,industrial,597430.75,3990836.91
78,IDM213,GSO,industrial,597422.45,3990846.53
79,IDM217,GSO,industrial,597422.45,3990846.53
80,IDM219,GSO,industrial,597406.76,3990842.27
81,IDM221,GSO,industrial,597428.84,3990917.39
82,IDM224,GSO,industrial,597524.78,3990913.85
83,IDM226,GSO,industrial,597570.72,3990950.0
84,IDM230,GSO,industrial,597653.43,3990918.4
85,IDM235,GSO,industrial,595137.49,3989493.61
86,IDM236,GSO,industrial,595144.53,3989477.29
87,IDM240,GSO,industrial,593478.15,3989133.84
88,IDM242,GSO,industrial,593478.09,3989116.62
89,IDM245,GSO,industrial,593478.01,3989099.09
90,IDM247,GSO,industrial,593477.92,3989089.88
91,IDM249,GSO,industrial,593477.84,3989072.46
92,IDM253,GSO,industrial,593477.85,3989063.37
93,IDM256,GSO,industrial,593720.19,3997279.61
94,IDM257,GSO,industrial,593729.14,3997278.44
95,IDM261,GSO,industrial,593737.0,3997268.89
96,IDM262,GSO,industrial,593739.07,3997264.14
97,IDM264,GSO,industrial,593704.2,3997280.28
98,IDM265,GSO,industrial,593696.2,3997280.62
99,IDM266,GSO,industrial,593688.21,3997280.96
100,IDM272,GSO,industrial,593670.74,3997281.19
101,IDM273,GSO,industrial,593661.27,3997281.09
102,IDM274,GSO,industrial,593651.8,3997280.99
103,IDM275,GSO,industrial,593632.87,3997280.79
104,IDM276,GSO,industrial,593623.4,3997280.69
105,IDM277,GSO,industrial,593613.93,3997280.59
106,IDM278,GSO,industrial,593604.46,3997280.49
107,IDM280,GSO,industrial,593585.52,3997280.28
108,IDM283,GSO,industrial,593557.12,3997279.98
109,IDM284,GSO,industrial,593566.59,3997280.08
110,IDM287,GSO,industrial,593576.06,3997280.18
111,IDM295,GSO,industrial,594990.92,3988914.25
112,IDM297,GSO,industrial,594978.77,3988919.24
113,IDM300,GSO,industrial,594969.87,3988929.71
114,IDM302,GSO,industrial,594924.47,3988984.92
115,IDM306,GSO,industrial,594917.34,3989112.57
116,IDM310,GSO,industrial,594941.92,3989109.56
117,IDM313,GSO,industrial,594898.34,3989098.12
118,IDM315,GSO,industrial,594882.28,3989107.89
119,IDM317,GSO,industrial,594906.36,3989093.24
120,IDM318,GSO,industrial,594834.05,3989158.93
121,IDM319,GSO,industrial,594838.03,3989167.36
122,IDM322,GSO,industrial,594818.44,3989126.06
123,IDM323,GSO,industrial,594822.26,3989134.06
124,IDM324,GSO,industrial,594826.08,3989142.07
125,IDM326,GSO,industrial,594842.01,3989175.79
126,IDM328,GSO,industrial,594848.73,3989189.52
127,IDM332,GSO,industrial,594858.2,3989122.54
128,IDM334,GSO,industrial,594874.25,3989112.77
129,IDM337,GSO,industrial,595373.87,3989837.36
130,IDM339,GSO,industrial,595355.17,3989836.89
131,IDM343,GSO,industrial,595325.3,3989788.13
132,IDM346,GSO,industrial,595410.57,3989829.22
133,IDM348,GSO,industrial,595396.75,3989833.52
134,IDM349,GSO,industrial,595433.56,3989814.8
135,IDM352,GSO,industrial,595439.17,3989810.17
136,IDM354,GSO,industrial,595417.72,3989826.53
137,IDM356,GSO,industrial,595403.41,3989831.91
138,IDM358,GSO,industrial,595445.09,3989804.88
139,IDM359,GSO,industrial,595462.83,3989789.01
140,IDM361,GSO,industrial,595451.0,3989799.59
141,IDM364,GSO,industrial,595470.55,3989783.0
142,IDM365,GSO,industrial,595478.27,3989776.99
143,IDM367,GSO,industrial,595525.77,3989756.25
144,IDM368,GSO,industrial,595519.96,3989757.39
145,IDM369,GSO,industrial,595502.51,3989762.74
146,IDM370,GSO,industrial,595485.98,3989770.98
147,IDM372,GSO,industrial,595541.83,3989753.95
148,IDM373,GSO,industrial,595549.65,3989753.47
149,IDM374,GSO,industrial,595514.16,3989758.53
150,IDM376,GSO,industrial,595519.96,3989757.39
151,IDM381,GSO,industrial,595565.2,3989752.6
152,IDM383,GSO,industrial,595576.0,3989736.83
153,IDM386,GSO,industrial,595574.94,3989745.96
154,IDM387,GSO,industrial,595485.98,3989770.98
155,IDM389,GSO,industrial,595508.33,3989760.64
156,IDM391,GSO,industrial,595438.46,3989686.01
157,IDM396,GSO,industrial,595593.54,3989702.87
158,IDM397,GSO,industrial,595584.79,3989706.86
159,IDM399,GSO,industrial,595620.82,3989693.78
160,IDM400,GSO,industrial,595612.93,3989696.82
161,IDM404,GSO,industrial,595579.18,3989711.37
162,IDM407,GSO,industrial,595576.32,3989730.1
163,IDM408,GSO,industrial,595576.95,3989716.64
164,IDM411,GSO,industrial,595627.61,3989767.55
