,变电站名称,区域,子区域,x,y,容量（kVA）,相数
0,IDT0,GSO,industrial,591196.24,3995922.23,1000.0,3
1,IDT1,GSO,industrial,597619.52,3994914.5,25.0,1
2,IDT2,GSO,industrial,597666.73,3995252.18,25.0,1
3,IDT3,GSO,industrial,596942.97,3995756.61,150.0,3
4,IDT4,GSO,industrial,593508.83,3993254.45,300.0,3
5,IDT5,GSO,industrial,593668.18,3993076.14,300.0,3
6,IDT6,GSO,industrial,593140.85,3993205.45,25.0,1
7,IDT7,GSO,industrial,593621.32,3993604.89,300.0,3
8,IDT8,GSO,industrial,592552.17,3993775.22,1000.0,3
9,IDT9,GSO,industrial,592387.62,3993471.41,150.0,3
10,IDT10,GSO,industrial,592521.71,3993197.93,1000.0,3
11,IDT11,GSO,industrial,590841.66,3993734.81,25.0,1
12,IDT12,GSO,industrial,591686.81,3993845.66,25.0,1
13,IDT13,GSO,industrial,591684.62,3994127.76,500.0,3
14,IDT14,GSO,industrial,590979.61,3994066.62,300.0,3
15,IDT15,GSO,industrial,590845.35,3994241.21,300.0,3
16,IDT16,GSO,industrial,591518.3,3994683.44,50.0,1
17,IDT17,GSO,industrial,591359.88,3994706.25,300.0,3
18,IDT18,GSO,industrial,590555.18,3994028.02,25.0,1
19,IDT19,GSO,industrial,590683.22,3993835.67,25.0,1
20,IDT20,GSO,industrial,590454.85,3994199.92,25.0,1
21,IDT21,GSO,industrial,590624.69,3994155.41,50.0,1
22,IDT22,GSO,industrial,590595.99,3994829.41,25.0,1
23,IDT23,GSO,industrial,589998.6,3994910.23,300.0,3
24,IDT24,GSO,industrial,590566.57,3994761.85,150.0,3
25,IDT25,GSO,industrial,590564.19,3994817.92,100.0,3
26,IDT26,GSO,industrial,590600.87,3994611.07,150.0,3
27,IDT27,GSO,industrial,590536.1,3995673.93,75.0,3
28,IDT28,GSO,industrial,590369.61,3995067.49,25.0,1
29,IDT29,GSO,industrial,590372.42,3995513.41,25.0,1
30,IDT30,GSO,industrial,590422.89,3995437.11,50.0,1
31,IDT31,GSO,industrial,590371.74,3995385.54,25.0,1
32,IDT32,GSO,industrial,590551.48,3994891.42,100.0,3
33,IDT33,GSO,industrial,590370.78,3995252.06,25.0,1
34,IDT34,GSO,industrial,590456.71,3995433.35,25.0,1
35,IDT35,GSO,industrial,590697.18,3994885.45,75.0,3
36,IDT36,GSO,industrial,590551.16,3995124.55,25.0,1
37,IDT37,GSO,industrial,590655.67,3995267.196666667,25.0,1
38,IDT38,GSO,industrial,590372.76,3995587.8,25.0,1
39,IDT39,GSO,industrial,590829.4,3995412.0,75.0,1
40,IDT40,GSO,industrial,590830.12,3995477.88,25.0,1
41,IDT41,GSO,industrial,590599.75,3995259.87,25.0,1
42,IDT42,GSO,industrial,595618.04,3993196.2,1000.0,3
43,IDT43,GSO,industrial,595588.47,3993479.23,75.0,3
44,IDT44,GSO,industrial,594923.34,3993688.47,150.0,3
45,IDT45,GSO,industrial,593823.83,3993038.6,100.0,3
46,IDT46,GSO,industrial,593835.58,3993137.22,75.0,3
47,IDT47,GSO,industrial,594262.97,3993126.65,25.0,1
