,变电站名称,区域,子区域,x,y
0,IHS0,GSO,industrial,591870.31,3995275.27
1,IHS1,GSO,industrial,594514.91,3994597.33
2,IHS2,GSO,industrial,596822.39,3993881.52
3,IHS3,GSO,industrial,594203.75,3991674.04
4,IHS4,GSO,industrial,595222.53,3989353.24
5,IHS5,GSO,industrial,595665.49,3996218.86
6,RHS0,GSO,rural,624705.61,4006813.02
7,RHS1,GSO,rural,624716.0499542318,4014756.49541577
8,RHS2,GSO,rural,632063.0032468258,4004904.497486906
9,RHS3,GSO,rural,616651.1790689656,4003515.7097068965
10,UHS0,GSO,urban-suburban,610678.54,3991277.15
11,UHS1,GSO,urban-suburban,605366.08,3987673.9
12,UHS2,GSO,urban-suburban,608028.46,3995607.21
13,UHS3,GSO,urban-suburban,609084.62,3993554.14
14,UHS4,GSO,urban-suburban,608649.86,3992519.81
15,UHS5,GSO,urban-suburban,602799.5058669262,3988100.7619419154
16,UHS6,GSO,urban-suburban,603458.35,3995154.35
17,UHS7,GSO,urban-suburban,606280.24,3990115.97
18,UHS8,GSO,urban-suburban,599875.1190513286,3996100.446961503
19,UHS9,GSO,urban-suburban,599308.36,3993124.81
20,UHS10,GSO,urban-suburban,611866.76,3993384.47
21,UHS11,GSO,urban-suburban,611032.35,3995919.53
22,UHS12,GSO,urban-suburban,607957.31,3986544.89
23,UHS13,GSO,urban-suburban,607063.64,3994159.8
24,UHS14,GSO,urban-suburban,605532.76,3992256.27
25,UHS15,GSO,urban-suburban,599539.26,3990421.18
26,UHS16,GSO,urban-suburban,608497.38,3990524.42
27,UHS17,GSO,urban-suburban,604775.07,3996903.41
28,UHS18,GSO,urban-suburban,602343.16,3992345.82
29,UHS19,GSO,urban-suburban,609724.31,3988004.31
30,UHS20,GSO,urban-suburban,601962.44,3998461.43
